street_id,source,target,street_name,street_length,amenity,Average_POI_Distance,shop,restaurant,healthcare,clothes,school
624134362,25775729,8802769264,New North Road,11.041,0.0,11.041,0.0,0.0,0.0,0.0,0.0
4308413,8802769125,8011528819,Mount Eden Road,4.502,0.0,4.502,0.0,0.0,0.0,0.0,0.0
114133936,3130600314,25775729,Symonds Street,7.722,0.0,7.722,0.0,0.0,0.0,0.0,0.0
624134362,8802769264,3130600319,New North Road,2.436,0.0,2.436,0.0,0.0,0.0,0.0,0.0
624134361,25775730,1327096767,New North Road,13.465,0.0,13.465,0.0,0.0,0.0,0.0,0.0
4369966,3383747263,25775730,New North Road,8.894,0.0,8.894,0.0,0.0,0.0,0.0,0.0
163772596,1327096767,8802769121,New North Road,9.89,0.0,9.89,0.0,0.0,0.0,0.0,0.0
780394983,3383747264,25775730,Flower Street,8.438,0.0,8.438,0.0,0.0,0.0,0.0,0.0
4290896,25775731,9449964372,Exmouth Street,9.457,0.0,9.457,0.0,0.0,0.0,0.0,0.0
624134360,25775731,2674590082,New North Road,7.537,0.0,7.537,0.0,0.0,0.0,0.0,0.0
4290896,9449964372,4694803147,Exmouth Street,4.194,0.0,4.194,0.0,0.0,0.0,0.0,0.0
624134360,2674590082,265816471,New North Road,11.418,0.0,11.418,0.0,0.0,0.0,0.0,0.0
628151242,9449964369,25775731,New North Road,14.051,0.0,14.051,0.0,0.0,0.0,0.0,0.0
4369966,25775732,7895247859,New North Road,20.463,0.0,20.463,0.0,0.0,0.0,0.0,0.0
7636752,25775732,3130600322,Basque Road,8.631,0.0,8.631,0.0,0.0,0.0,0.0,0.0
4369966,7895247859,2674589947,New North Road,35.588,0.0,35.588,0.0,0.0,0.0,0.0,0.0
7636752,3130600322,8802769267,Basque Road,2.608,0.0,2.608,0.0,0.0,0.0,0.0,0.0
624134362,8011528820,25775732,New North Road,17.902,0.0,16.381772303048606,0.0,1.0,0.0,0.0,0.0
32776244,25775733,3130600318,Dundonald Street,2.426,0.0,2.426,0.0,0.0,0.0,0.0,0.0
