source_street,target_street,distance
618,614,25.448
620,621,20.942999999999998
621,620,20.942999999999998
620,623,20.394
623,620,20.394
621,623,22.239
623,621,22.239
626,627,10.247
627,626,10.247
628,629,34.492999999999995
629,628,34.492999999999995
634,636,36.297
636,634,36.297
634,637,19.785
637,634,19.785
636,637,37.01
637,636,37.01
638,639,25.814
639,638,25.814
644,647,11.951612645221651
647,644,11.951612645221651
645,646,12.529
646,645,12.529
648,649,23.506
649,648,23.506
650,651,25.484
651,650,25.484
657,658,25.922
658,657,25.922
663,665,73.923
665,663,73.923
668,669,20.384552598171958
669,668,20.384552598171958
670,671,16.183
671,670,16.183
675,676,15.492
676,675,15.492
677,678,93.159
678,677,93.159
677,679,93.298
679,677,93.298
678,679,10.479
679,678,10.479
684,685,43.771
685,684,43.771
686,687,30.448
687,686,30.448
690,691,10.724
691,690,10.724
690,8134,10.892
8134,690,10.892
695,696,15.483
696,695,15.483
695,5983,15.058
5983,695,15.058
698,700,18.637999999999998
700,698,18.637999999999998
701,702,28.681805985029627
702,701,28.681805985029627
701,706,28.572805985029625
706,701,28.572805985029625
707,710,40.61211935033735
710,707,40.61211935033735
712,713,27.603
713,712,27.603
716,717,39.26088274743201
717,716,39.26088274743201
719,720,13.105
720,719,13.105
722,724,22.323
724,722,22.323
727,728,3.1189999999999998
728,727,3.1189999999999998
730,731,50.45347556173246
731,730,50.45347556173246
730,735,50.68447556173246
735,730,50.68447556173246
732,733,27.972
733,732,27.972
739,8122,31.190030606993147
8122,739,31.190030606993147
740,741,74.94283764038707
741,740,74.94283764038707
747,748,26.98903846962265
748,747,26.98903846962265
752,753,22.06025316473236
753,752,22.06025316473236
758,760,17.274
760,758,17.274
761,762,26.214975705475204
762,761,26.214975705475204
763,767,12.146
767,763,12.146
764,765,14.297
765,764,14.297
770,772,14.898
772,770,14.898
771,772,17.072
772,771,17.072
773,774,14.922
774,773,14.922
773,775,11.428999999999998
775,773,11.428999999999998
774,775,13.231
775,774,13.231
781,782,15.22
782,781,15.22
784,785,77.06
785,784,77.06
792,793,53.39716036436113
793,792,53.39716036436113
798,799,35.41010197503741
799,798,35.41010197503741
800,5292,45.96474072391874
5292,800,45.96474072391874
804,806,31.274695863634427
806,804,31.274695863634427
807,808,22.240000000000002
808,807,22.240000000000002
810,812,17.458
812,810,17.458
813,814,27.769
814,813,27.769
819,822,47.725
822,819,47.725
820,821,26.597405267647265
821,820,26.597405267647265
825,826,33.054
826,825,33.054
825,827,35.153
827,825,35.153
826,827,9.589
827,826,9.589
831,832,133.276
832,831,133.276
835,836,39.868
836,835,39.868
839,840,42.038
840,839,42.038
844,845,31.034
845,844,31.034
850,851,20.497
851,850,20.497
854,855,37.501999999999995
